FileName,Tag1,Score1,Tag1_JP,Tag2,Score2,Tag2_JP,Tag3,Score3,Tag3_JP
ai-generated-9764965_1280.jpg,dog,0.768,犬,building,0.701,建物,sea,0.413,海
birdwatching-9766390_1280.jpg,outdoor,0.745,屋外,dog,0.594,犬,car,0.481,車
cat-7182671_1280.jpg,building,0.620,建物,dog,0.498,犬,phone,0.383,電話
couple-1194312_1280.jpg,food,0.666,食べ物,mountain,0.446,山,person,0.392,人
dog-2178696_1280.jpg,flower,0.850,花,book,0.767,本,sky,0.725,空
gull-9770052_1280.jpg,phone,0.527,電話,tree,0.515,木,road,0.484,道路
lake-8835371_1280.jpg,sky,0.647,空,flower,0.629,花,car,0.385,車
painting-9743117_1280.png,tree,0.787,木,book,0.699,本,mountain,0.370,山
portrait-4489207_1280.jpg,chair,0.731,椅子,cat,0.624,猫,tree,0.338,木
rhodesian-ridgeback-2727035_1280.jpg,sky,0.849,空,road,0.794,道路,tree,0.712,木
